"id_month","ds_month","total_amount"
"1","January","1726341.278541589"
"2","February","1088633.3393055103"
"3","March","1314361.495277728"
"4","April","1291067.2654166035"
"5","May","1453789.7559999293"
"6","June","84.61727272727273"
"7","July","31.076666666666668"
"8","August","51.36"
"9","September","12.96"
"10","October","76.049"
"11","November","52.38"
"12","December","197.58428571428573"
